undergraduate_gpa,self_reported_gpa,first_review_exp,first_review_sop,first_review_gpa,first_review_lor,second_review_exp,second_review_sop,second_review_gpa,distance_to_campus,program_length,response,academic_condition,age,90041_mi,91601_mi,92122_mi,94607_mi,last_60_90_gpa,graduate_gpa,second_review_lor,sip_score,time_to_finish_application,decision_wait_time,response_time,billing_country_United States,billing_country_blank,ethnicity_Arab/Middle Eastern,ethnicity_Asian/Pacific Islander,ethnicity_Caucasian,ethnicity_Latino/a,ethnicity_Multi-Ethnic,ethnicity_Native American,ethnicity_Unknown,ethnicity_blank,gender_Female,gender_Other,gender_blank,first_generation_Yes,first_generation_blank,campus___cleaned_Orange County Academic Center,campus___cleaned_San Diego Academic Center,campus___cleaned_University Park Campus,campus___cleaned_Virtual Academic Center,campus___cleaned_blank,residency_International,residency_Non Resident,residency_Other,residency_Permanent US Resident,residency_Temporary US Resident,residency_US Citizen,residency_blank,deposit_received_True,temperature_Cold,temperature_Hot,temperature_No Contact,temperature_Warm
3.22,3.21,4,5.0,4.0,5.0,3,4.0,4,43.72949462,4.0,1,0,27,46.7641839,54.05908185,58.85240457,388.459316,2.88,3.67,3.0,0,4.0,50.0,10.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.22,3.21,5,5.0,4.0,4.0,3,4.0,4,4.836532854,4.0,1,0,34,5.843484556,6.658023911,106.23880659999999,341.0529173,2.88,3.67,3.0,0,0.0,50.0,10.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.22,3.21,5,5.0,4.0,4.0,3,4.0,4,372.95653189999996,4.0,0,0,29,370.1427079,362.4988394,475.3431415,30.96009785,2.88,3.67,3.0,0,0.0,64.0,10.0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.22,3.21,5,5.0,4.0,4.0,3,4.0,4,53.73595415,4.0,1,0,29,50.24237979,60.1568216,74.50386346,385.5623248,2.88,3.67,3.0,0,28.0,37.0,8.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.23,3.21,4,5.0,4.0,5.0,3,4.0,4,73.30627644,4.0,1,0,34,68.37900009,78.25017217,82.94746619,394.1470686,2.88,3.67,3.0,0,3.0,66.0,2.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.23,3.21,5,4.0,4.0,4.0,3,4.0,4,4.873202179,4.0,1,0,30,13.99819302,13.17754831,101.9180407,345.2923899,2.88,3.67,3.0,0,2.0,56.0,1.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.23,3.21,4,5.0,4.0,5.0,3,4.0,4,5.739014159,4.0,1,0,28,11.06974484,16.00640267,96.85786933,350.3558809,2.88,3.67,3.0,0,6.0,40.0,3.0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.24,3.21,4,5.0,4.0,4.0,3,4.0,4,303.376702,4.0,1,0,36,301.32806380000005,293.15149289999994,405.5844985,44.16357754,2.88,3.33,3.0,0,1.0,43.0,25.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3.24,3.21,5,5.0,4.0,5.0,3,4.0,4,3.53447437,4.0,0,0,43,5.982601625,10.63379265,102.3166039,345.00928769999996,2.88,3.67,3.0,0,0.0,63.0,21.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.24,3.21,5,4.0,4.0,4.0,3,4.0,4,1614.62444,6.0,1,0,28,1608.165616,1617.350808,1569.90987,1804.349189,2.88,3.67,3.0,0,99.0,9.0,14.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
